ï»¿order_details_id,order_id,order_date,order_time,item_id
1,1,1/1/23,"11:38:36 AM",109
2,2,1/1/23,"11:57:40 AM",108
3,2,1/1/23,"11:57:40 AM",124
4,2,1/1/23,"11:57:40 AM",117
5,2,1/1/23,"11:57:40 AM",129
6,2,1/1/23,"11:57:40 AM",106
7,3,1/1/23,"12:12:28 PM",117
8,3,1/1/23,"12:12:28 PM",119
9,4,1/1/23,"12:16:31 PM",117
10,5,1/1/23,"12:21:30 PM",117
11,6,1/1/23,"12:29:36 PM",101
12,6,1/1/23,"12:29:36 PM",114
13,7,1/1/23,"12:50:37 PM",123
14,8,1/1/23,"12:51:37 PM",123
15,9,1/1/23,"12:52:01 PM",108
16,9,1/1/23,"12:52:01 PM",126
17,9,1/1/23,"12:52:01 PM",110
18,9,1/1/23,"12:52:01 PM",117
19,9,1/1/23,"12:52:01 PM",117
20,9,1/1/23,"12:52:01 PM",129
21,9,1/1/23,"12:52:01 PM",122
22,9,1/1/23,"12:52:01 PM",130
23,9,1/1/23,"12:52:01 PM",132
24,10,1/1/23,"1:00:15 PM",129
25,10,1/1/23,"1:00:15 PM",105
26,11,1/1/23,"1:02:59 PM",101
27,11,1/1/23,"1:02:59 PM",102
28,11,1/1/23,"1:02:59 PM",102
29,11,1/1/23,"1:02:59 PM",113
30,12,1/1/23,"1:04:41 PM",102
31,12,1/1/23,"1:04:41 PM",102
32,12,1/1/23,"1:04:41 PM",104
33,12,1/1/23,"1:04:41 PM",117
34,13,1/1/23,"1:11:55 PM",129
35,14,1/1/23,"1:14:19 PM",114
36,15,1/1/23,"1:33:00 PM",107
37,15,1/1/23,"1:33:00 PM",124
38,15,1/1/23,"1:33:00 PM",121
39,15,1/1/23,"1:33:00 PM",114
40,16,1/1/23,"1:34:07 PM",125
41,16,1/1/23,"1:34:07 PM",111
42,16,1/1/23,"1:34:07 PM",106
43,17,1/1/23,"1:53:00 PM",101
44,17,1/1/23,"1:53:00 PM",116
45,17,1/1/23,"1:53:00 PM",124
46,17,1/1/23,"1:53:00 PM",125
47,17,1/1/23,"1:53:00 PM",117
48,17,1/1/23,"1:53:00 PM",127
49,17,1/1/23,"1:53:00 PM",128
50,17,1/1/23,"1:53:00 PM",129
51,17,1/1/23,"1:53:00 PM",118
52,17,1/1/23,"1:53:00 PM",131
53,18,1/1/23,"1:57:08 PM",111
54,19,1/1/23,"1:59:09 PM",110
55,19,1/1/23,"1:59:09 PM",120
56,20,1/1/23,"2:03:08 PM",107
57,20,1/1/23,"2:03:08 PM",124
58,21,1/1/23,"2:14:29 PM",110
59,22,1/1/23,"2:16:26 PM",124
60,22,1/1/23,"2:16:26 PM",110
61,22,1/1/23,"2:16:26 PM",105
62,23,1/1/23,"2:19:03 PM",105
63,24,1/1/23,"2:23:01 PM",101
64,24,1/1/23,"2:23:01 PM",110
65,24,1/1/23,"2:23:01 PM",113
66,24,1/1/23,"2:23:01 PM",119
67,25,1/1/23,"2:44:44 PM",120
68,25,1/1/23,"2:44:44 PM",106
69,26,1/1/23,"2:54:26 PM",108
70,26,1/1/23,"2:54:26 PM",132
71,27,1/1/23,"3:11:17 PM",101
72,27,1/1/23,"3:11:17 PM",108
73,27,1/1/23,"3:11:17 PM",131
74,28,1/1/23,"3:35:46 PM",103
75,29,1/1/23,"3:41:01 PM",126
76,30,1/1/23,"3:41:25 PM",106
77,31,1/1/23,"3:50:18 PM",129
78,31,1/1/23,"3:50:18 PM",113
79,32,1/1/23,"3:53:18 PM",107
80,32,1/1/23,"3:53:18 PM",126
81,32,1/1/23,"3:53:18 PM",110
82,32,1/1/23,"3:53:18 PM",117
83,33,1/1/23,"3:54:08 PM",101
84,33,1/1/23,"3:54:08 PM",126
85,34,1/1/23,"4:21:21 PM",114
86,35,1/1/23,"4:32:04 PM",126
87,35,1/1/23,"4:32:04 PM",112
88,35,1/1/23,"4:32:04 PM",113
89,35,1/1/23,"4:32:04 PM",106
90,36,1/1/23,"4:54:09 PM",101
91,36,1/1/23,"4:54:09 PM",108
92,37,1/1/23,"4:56:09 PM",117
93,37,1/1/23,"4:56:09 PM",129
94,38,1/1/23,"5:03:00 PM",109
95,38,1/1/23,"5:03:00 PM",110
96,39,1/1/23,"5:07:23 PM",117
97,40,1/1/23,"5:14:36 PM",125
98,40,1/1/23,"5:14:36 PM",105
99,41,1/1/23,"5:15:20 PM",125
100,41,1/1/23,"5:15:20 PM",126
101,42,1/1/23,"5:28:09 PM",107
102,42,1/1/23,"5:28:09 PM",124
103,42,1/1/23,"5:28:09 PM",129
104,42,1/1/23,"5:28:09 PM",118
105,43,1/1/23,"5:38:34 PM",103
106,43,1/1/23,"5:38:34 PM",117
107,43,1/1/23,"5:38:34 PM",118
108,44,1/1/23,"5:54:20 PM",130
109,45,1/1/23,"5:55:48 PM",125
110,45,1/1/23,"5:55:48 PM",109
111,45,1/1/23,"5:55:48 PM",106
112,46,1/1/23,"6:25:51 PM",104
113,46,1/1/23,"6:25:51 PM",108
114,46,1/1/23,"6:25:51 PM",106
115,47,1/1/23,"6:26:34 PM",105
116,47,1/1/23,"6:26:34 PM",132
117,48,1/1/23,"6:26:42 PM",104
118,48,1/1/23,"6:26:42 PM",126
119,48,1/1/23,"6:26:42 PM",119
120,48,1/1/23,"6:26:42 PM",122
121,49,1/1/23,"6:33:00 PM",120
122,50,1/1/23,"6:41:01 PM",NULL
123,51,1/1/23,"6:48:28 PM",101
124,51,1/1/23,"6:48:28 PM",112
125,52,1/1/23,"6:53:02 PM",109
126,52,1/1/23,"6:53:02 PM",129
127,52,1/1/23,"6:53:02 PM",122
128,53,1/1/23,"6:54:17 PM",112
129,53,1/1/23,"6:54:17 PM",123
130,54,1/1/23,"7:01:45 PM",119
131,54,1/1/23,"7:01:45 PM",106
132,55,1/1/23,"7:03:19 PM",118
133,55,1/1/23,"7:03:19 PM",122
134,56,1/1/23,"7:07:00 PM",108
135,56,1/1/23,"7:07:00 PM",128
136,56,1/1/23,"7:07:00 PM",105
137,57,1/1/23,"7:10:51 PM",108
138,58,1/1/23,"7:30:40 PM",124
139,58,1/1/23,"7:30:40 PM",113
140,59,1/1/23,"7:40:08 PM",127
141,59,1/1/23,"7:40:08 PM",112
142,59,1/1/23,"7:40:08 PM",113
143,60,1/1/23,"8:05:16 PM",104
144,60,1/1/23,"8:05:16 PM",125
145,61,1/1/23,"8:08:43 PM",101
146,61,1/1/23,"8:08:43 PM",117
147,62,1/1/23,"8:50:16 PM",101
148,62,1/1/23,"8:50:16 PM",123
149,63,1/1/23,"8:51:42 PM",112
150,64,1/1/23,"8:52:08 PM",107
151,65,1/1/23,"9:16:00 PM",112
152,65,1/1/23,"9:16:00 PM",120
153,65,1/1/23,"9:16:00 PM",122
154,65,1/1/23,"9:16:00 PM",123
155,66,1/1/23,"9:47:55 PM",108
156,66,1/1/23,"9:47:55 PM",110
157,67,1/1/23,"10:03:40 PM",105
158,68,1/1/23,"10:07:32 PM",108
159,68,1/1/23,"10:07:32 PM",117
160,68,1/1/23,"10:07:32 PM",117
161,69,1/1/23,"10:12:13 PM",101
162,70,1/2/23,"11:38:51 AM",127
163,70,1/2/23,"11:38:51 AM",121
164,71,1/2/23,"11:40:50 AM",106
165,72,1/2/23,"11:57:25 AM",131
166,73,1/2/23,"11:58:56 AM",106
167,74,1/2/23,"12:01:12 PM",124
168,74,1/2/23,"12:01:12 PM",129
169,74,1/2/23,"12:01:12 PM",130
170,74,1/2/23,"12:01:12 PM",123
171,75,1/2/23,"12:10:15 PM",117
172,75,1/2/23,"12:10:15 PM",128
173,75,1/2/23,"12:10:15 PM",111
174,76,1/2/23,"12:21:17 PM",107
175,76,1/2/23,"12:21:17 PM",109
176,76,1/2/23,"12:21:17 PM",127
177,76,1/2/23,"12:21:17 PM",122
178,77,1/2/23,"12:22:46 PM",101
179,77,1/2/23,"12:22:46 PM",109
180,78,1/2/23,"12:28:14 PM",107
181,78,1/2/23,"12:28:14 PM",108
182,78,1/2/23,"12:28:14 PM",125
183,78,1/2/23,"12:28:14 PM",110
184,78,1/2/23,"12:28:14 PM",122
185,78,1/2/23,"12:28:14 PM",106
186,79,1/2/23,"12:29:11 PM",110
187,79,1/2/23,"12:29:11 PM",112
188,79,1/2/23,"12:29:11 PM",106
189,80,1/2/23,"12:35:38 PM",113
190,80,1/2/23,"12:35:38 PM",106
191,81,1/2/23,"12:40:01 PM",106
192,82,1/2/23,"12:45:51 PM",107
193,82,1/2/23,"12:45:51 PM",102
194,82,1/2/23,"12:45:51 PM",122
195,82,1/2/23,"12:45:51 PM",132
196,83,1/2/23,"12:53:27 PM",105
197,84,1/2/23,"1:13:41 PM",113
198,85,1/2/23,"1:34:49 PM",108
